门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
冰心      80        4000      85229     150       237       1110      691       537       428       44        334       3773      4081      5377      682       596       0         7         0         丶毒尾
冰心      80        6666      96405     195       234       1251      801       452       412       50        340       4318      4204      5923      721       588       0         8         0         张出尘
鬼墨      80        4800      98140     161       235       1727      848       924       554       26        339       4043      3977      6354      1066      394       0         84        0         馮宝宝丶
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
龙巫      80        7500      93395     195       249       295       289       1679      633       0         435       5244      1046      2217      1035      1662      0         243       244       丷半夏微凉丷
幽篁      80        6400      95026     195       248       1927      833       709       383       42        330       3594      4495      6356      550       288       0         53        0         一笔画情丶
翎羽      80        4000      82785     127       234       666       423       2619      1526      0         451       3132      1100      1529      1474      217       20        12        0         大道轮回
冰心      80        7200      91924     195       255       1111      730       487       414       52        330       4326      3880      5698      735       607       0         83        0         仙月仙
冰心      80        9900      95468     198       259       1255      780       583       413       50        335       4224      3900      6813      848       506       0         43        0         乄余悸丶
冰心      80        6800      88457     140       234       1443      841       660       541       45        330       3439      3567      5741      639       184       0         45        0         丶采采悦耳
太虚      80        8500      100296    195       253       3158      1823      701       405       42        338       2470      2212      4343      2514      2300      0         36        99        洵砚
太虚      80        3350      84988     149       236       2502      1174      674       423       35        340       2153      1698      3545      1997      1947      0         0         41        乀落霜寒
天机      80        6800      95009     197       235       797       516       3076      1392      0         487       5627      717       2217      1876      2272      0         195       144       护心粉拆小田鸡
冰心      80        8600      93798     195       241       3307      2046      685       478       23        406       2388      1616      3900      2127      755       7         0         0         潋風
弈剑      80        5999      92397     167       252       1085      354       2306      2306      0         464       3567      1934      2543      1829      862       10        0         0         听风断雨
天机      80        7500      86292     142       234       694       439       2531      1206      0         467       5620      642       1889      2004      2070      0         241       0         乄塑料桃
弈剑      80        2499      66240     104       234       951       358       890       442       1         392       2262      2292      1945      1444      1461      0         0         0         包子丶不许忘
魍魉      80        9900      100462    195       257       624       317       2503      754       0         402       4569      1683      2034      1916      3024      0         0         236       乄灬长生不老丶
冰心      80        3788      82730     150       236       1009      818       565       560       25        347       3676      3322      5232      754       631       0         15        0         丶素笺青衫客
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
冰心      80        7400      93641     195       253       1104      719       524       416       54        335       4534      4326      6136      663       363       0         74        0         白桃灬
冰心      80        6800      92171     195       240       1105      768       524       473       45        334       4012      3523      5967      919       421       0         5         0         晨曦乀
太虚      80        1950      75542     112       234       1789      1059      701       356       26        369       3124      2794      3597      1466      585       0         187       0         道友尐请留步
冰心      80        3500      85197     150       234       1215      807       616       473       49        330       3582      3778      5352      636       166       19        13        0         君邀
天机      80        5700      90235     195       242       790       437       2652      1252      0         439       6261      1384      2336      1530      1904      0         29        0         沫丶筱兮
幽篁      80        8995      96323     195       254       4048      1732      741       477       30        424       3847      873       2520      1187      2162      0         204       162       乄叶汐风
弈剑      80        7000      86401     143       234       1129      415       2774      1041      0         457       3072      1956      2626      2288      2510      0         0         116       灬上山打脑斧
魍魉      80        2400      77525     130       234       600       310       1848      610       1         417       3662      1572      1630      1856      2081      0         0         0         纯甄不是奶灬
龙巫      80        7000      92048     153       234       3106      1601      809       544       25        410       4306      499       2695      1499      2328      0         77        299       乄龙魂灬
天机      80        6300      92677     195       235       251       92        1517      499       0         458       5909      869       2033      1733      1941      0         152       93        英雄自有路
冰心      80        5850      88011     150       238       1156      860       617       472       54        330       3601      3566      6194      892       254       0         90        0         有一蓑烟雨
幽篁      80        9000      95460     195       241       4540      1930      765       436       29        364       4578      844       2187      1191      2091      26        364       7         油纸伞
天机      80        9288      97352     195       234       792       500       2461      2461      0         378       6110      1049      3118      1328      429       39        110       0         月弦微曦丶
天机      80        3800      85040     153       239       694       461       2524      999       0         457       5130      726       1971      2083      2099      0         153       27        钢铁虾丶
翎羽      80        3300      81107     151       236       682       410       2768      1350      0         438       3247      1065      1436      1819      283       0         0         19        乄坠落凡尘乄
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
幽篁      80        5950      90087     195       234       1909      672       612       372       45        334       4091      3672      5741      637       130       0         9         0         林轻衣
弈剑      80        5450      85775     156       234       1059      365       2537      1182      0         470       3419      1767      2166      2349      951       5         0         0         琼恩雪诺乀
天机      80        3245      82209     140       242       682       417       2358      1408      0         419       5231      805       1292      1716      567       0         37        0         卢俊义丶
天机      80        4980      87648     140       238       800       461       2086      1551      4         430       6501      1483      3486      1498      773       0         169       0         犯我必诛
幽篁      80        6000      100182    150       252       2856      1040      713       357       39        350       3858      3666      5414      1405      1509      0         17        50        尛尛尛如意丶
弈剑      80        6500      85809     195       243       970       370       2340      1055      0         497       2846      1960      2249      2418      2258      0         0         0         七舅脑爷
太虚      80        5500      92244     195       234       3387      1564      827       411       37        393       2173      2079      4079      2102      2051      0         39        144       乀无岸
冰心      80        6050      88239     159       243       1189      812       512       454       46        340       3807      3608      5493      696       704       0         59        0         樱粉微微映月影
太虚      80        3200      83112     125       234       1762      805       620       407       38        330       3117      3126      5534      1155      1152      0         51        0         丷似醉非醒
冰心      80        3600      78681     128       234       1132      762       440       352       34        342       3409      2560      5440      691       386       0         25        0         林久久丶
太虚      80        3200      83186     125       236       3176      1546      708       381       37        375       2391      1797      3782      1575      2170      0         0         96        鹤影乀
翎羽      80        9000      98969     144       234       673       441       3729      1944      0         464       3878      1011      1696      1885      427       74        7         0         点点星光月儿圆
魍魉      80        7998      94977     195       256       632       322       2258      626       0         419       4362      2230      1748      2184      2680      0         0         83        夙影丷
弈剑      80        9950      103474    217       262       4005      1651      841       547       31        386       2904      1834      4075      1447      2485      0         21        282       乀剑少乄
魍魉      80        8400      75732     126       235       1044      731       763       457       68        330       4574      1809      2340      752       478       0         30        0         糖果果灬
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
弈剑      80        2949      80385     140       237       1369      537       1749      883       0         380       3769      3212      2580      1886      1615      0         20        0         上善乄未滿
幽篁      80        2900      82476     120       234       1976      890       663       357       46        335       3227      3169      5547      744       479       0         39        0         纯情雪兔
幽篁      80        10000     97623     195       235       4141      1727      749       390       33        361       1938      1916      3863      1734      2285      0         65        304       潄流乀
冰心      80        4750      88081     195       234       1369      855       702       621       49        330       3532      3257      5693      765       150       0         6         0         莳冉
幽篁      80        6688      92346     154       246       2161      1105      684       392       48        330       3573      3438      5980      792       202       0         65        0         可惜我是水瓶座
冰心      80        3200      79569     106       235       1231      851       619       494       46        342       3659      2805      5271      818       306       24        20        0         簏葵丶
冰心      80        8650      94060     197       254       1144      694       580       420       50        330       4351      4238      6148      634       403       0         163       0         一只九九
冰心      80        5000      85400     153       244       1162      906       624       539       51        334       3386      3387      5705      778       204       0         31        0         丷桃花丶
龙巫      80        3500      83434     127       234       754       525       2419      1149      0         442       5075      510       2086      1357      1665      0         239       130       宇宙无敌小糖豆
太虚      80        4550      90012     150       234       3377      1609      729       353       44        347       2734      2182      4130      1468      1849      21        0         9         富贵万年
云麓      80        6888      87498     135       238       3599      1874      892       587       41        340       1631      1084      3229      2357      344       87        0         0         蘑菇采菇凉
云麓      80        6800      96327     195       239       3754      1959      940       639       40        330       1604      1490      3974      2096      180       58        0         21        丷荡荡丷
幽篁      80        8500      94318     187       245       3894      1641      862       463       37        380       3756      935       2587      1237      1995      0         269       214       丶春峰
天机      80        7000      95375     177       249       759       475       2944      1739      0         432       6005      794       1951      2201      499       28        99        0         珍猪奶茶
冰心      80        3590      84255     156       235       1329      757       527       465       44        336       3822      3888      5278      647       362       0         25        0         桃夭夭丶
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
荒火      80        8490      95597     195       243       779       417       3665      1392      0         442       4378      745       1777      1264      2556      0         279       463       乄自然疯
荒火      80        8799      97214     195       235       742       393       3313      1210      0         428       4488      746       1472      2078      2722      0         210       302       桃椛树下桃錵仙
天机      80        9000      103289    196       263       807       505       2726      1406      0         474       6717      658       2018      2037      638       0         448       0         小楼祚夜誮溅泪
弈剑      80        2950      71191     93        235       1186      454       1330      635       16        400       2965      1962      2493      1246      1643      0         0         0         丷皮皮鲁丶
云麓      80        2900      79561     125       234       3255      1483      812       546       34        358       1502      1058      3675      2231      670       0         0         0         牧竹
太虚      80        9900      103154    210       256       4324      1961      943       424       40        330       2720      1711      3845      1949      2385      0         0         333       丶随心随意
幽篁      80        5900      96948     195       235       3188      2440      738       425       8         442       2635      2081      4296      1582      304       64        82        0         乄釉灬
龙巫      80        5600      92659     158       235       786       511       2446      1169      0         416       5102      908       2080      1175      2102      0         184       421       赵小白
天机      80        1750      70122     104       234       634       360       2046      1044      1         398       5468      831       1522      1404      1124      0         7         0         这乀一世浮夸
弈剑      80        5900      87487     195       236       1074      386       2713      1017      1         461       3193      1734      2251      1905      2309      20        0         74        乀林瑶瑶
翎羽      80        9555      102531    197       242       815       462       4006      2088      0         469       3698      1077      1727      2071      408       152       0         10        射穿你内裤
天机      80        2500      76475     115       234       768       436       2073      928       0         428       6370      1599      2504      1947      1642      0         56        0         气宇轩昂凡小凡
弈剑      80        7000      95814     195       252       1236      424       2786      1157      0         474       3568      2608      3143      1950      2359      0         0         130       丷劍灬訫
云麓      80        2666      76965     114       236       2971      1283      735       443       33        338       1652      1498      3930      1481      294       0         0         0         吉詳乀
弈剑      80        7400      99416     195       254       1201      467       3187      1396      0         463       3577      2463      2965      2068      2602      0         58        47        奕小贱丷
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
荒火      80        8200      96906     153       239       824       383       3359      1305      0         434       4715      692       1328      1540      2632      0         266       447       乄手指坟
冰心      80        3200      80292     127       236       1049      706       563       439       40        330       3179      3350      5128      762       617       0         21        0         氵般若丷芯
太虚      80        9555      91025     196       234       3410      1650      822       401       31        383       2465      1560      3355      2021      1838      0         0         341       剑道乀
冰心      80        4333      83392     147       240       1250      759       524       435       41        333       3536      3729      5152      750       354       0         55        0         好性感的小姨妈
魍魉      80        8680      102639    195       248       561       324       2931      969       0         424       4547      1645      1926      2125      2961      0         12        195       兄弟情深很沒勁
魍魉      80        9300      81497     123       234       967       705       777       459       70        347       4927      1866      2870      804       605       0         0         0         排面拉满花哥哥
幽篁      80        3400      81339     120       234       2508      1039      700       352       36        337       2842      2662      4769      1068      650       0         14        26        烟雨乀雪狼
冰心      80        2299      79524     114       236       1212      921       694       512       40        334       2946      3029      5117      846       384       0         0         0         吥弃乀
弈剑      80        9500      91711     195       235       1043      343       2910      1123      0         474       3612      1839      2329      2106      1904      0         0         16        游灵丶
冰心      80        4500      85647     148       234       1053      687       516       427       41        334       3959      3790      5490      755       606       0         0         0         娃灬哈哈
太虚      80        6600      93920     195       234       3200      1582      716       336       44        332       2650      1945      4027      1779      1830      0         13        17        柒乄跋热丽迪
翎羽      80        8950      100502    210       242       777       458       3787      1876      2         423       4096      1017      1807      1797      359       108       0         20        大拆完封高人祸
冰心      80        4100      75218     114       234       969       727       509       509       20        330       2885      3409      4497      668       320       0         66        0         缨络
冰心      80        3500      81134     153       236       2555      1363      484       455       31        330       2116      1422      3642      1576      486       0         62        0         寂小寞丶
冰心      80        2000      65523     88        234       1114      726       413       376       28        363       2995      1635      4183      693       535       0         0         0         丷繁华岁月如痕
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
幽篁      80        7700      89331     153       253       1860      728       701       338       54        335       3733      3574      5859      660       460       0         76        0         丷沫若曦
鬼墨      80        2588      71985     120       234       1241      541       824       460       34        400       3077      1761      4285      1342      712       0         0         0         從菋丶浅莜愛
魍魉      80        7050      94634     195       239       658       333       3019      1024      0         427       3991      1179      1627      1525      2656      0         0         208       十步一煞
太虚      80        4680      85932     195       236       3069      1555      634       336       47        342       2276      1776      3831      1740      1717      0         0         0         小愿儿
弈剑      80        3999      81287     130       236       1152      440       2150      1050      0         433       2925      2510      2768      1723      1789      0         0         47        乄北纬丶三十讀
冰心      80        2988      78788     131       235       1253      865       675       497       34        330       3355      2922      4887      698       364       0         20        0         丷十里故清欢丶
鬼墨      80        8888      97208     195       246       2308      986       971       556       40        344       3578      2249      5915      1293      829       16        65        0         丷阿丷哲丷
冰心      80        2800      76878     117       238       1147      706       517       423       37        330       3053      3326      5155      733       479       0         20        0         微微凉
弈剑      80        3600      80311     130       235       1117      418       2026      895       0         422       3126      2008      2623      1551      2358      0         0         6         丷陌幽漓
太虚      80        9999      94662     195       259       2328      1008      781       460       41        410       2859      3228      5653      1410      1584      0         0         51        风起紫罗峡
冰心      80        6999      93568     177       239       2942      2527      684       492       17        405       2224      1701      4126      1804      486       90        35        0         即之愈希
冰心      80        5690      91989     195       234       1242      680       505       389       46        330       3926      3476      5916      595       600       0         19        0         珍映
冰心      80        6500      89246     195       253       1198      727       528       429       44        330       4012      4052      5667      700       585       0         26        0         丷鬼鬼丶
冰心      80        7200      86206     101       234       1226      881       661       466       50        341       3938      3657      5665      851       201       28        66        0         海棠炼护十六羊
冰心      80        4000      85403     150       238       952       650       518       403       43        330       3977      3867      5423      571       321       0         48        0         你装比时丶很酷
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
冰心      80        5600      83885     153       240       1151      754       468       452       44        336       3918      3655      4758      684       309       0         50        0         安雅丶
鬼墨      80        3350      84975     150       239       3426      1712      1046      645       11        391       1798      1587      3703      1896      300       0         86        0         我明明是好人
翎羽      80        6500      95070     195       237       744       453       3370      1829      0         461       3598      1008      1733      1941      398       48        0         0         乄安灬澜乀
云麓      80        4500      85370     195       234       3378      1431      917       564       40        377       1545      1208      3482      1501      1855      0         122       109       乀饺子
冰心      80        8000      91385     195       250       1213      781       407       388       45        330       3954      3627      6211      827       656       0         61        0         轻霜乀
冰心      80        2610      76040     130       234       1040      688       568       561       39        330       3278      2082      4491      829       563       0         0         0         素鸢怑暖画凉筝
冰心      80        3900      87384     151       242       1120      867       528       478       47        330       3813      3661      5781      657       578       0         22        0         舞乄美美
弈剑      80        7180      89011     195       242       1135      411       2519      1071      0         415       2657      1719      2814      1313      2274      0         27        56        丶轩莫
冰心      80        4000      83920     150       237       1096      807       502       447       43        330       3449      3384      5109      975       566       19        45        0         乄鹿安茶丶
荒火      80        9800      97865     202       234       727       375       3091      1173      0         418       5695      587       1458      1535      259       99        215       0         慕小寒乄
太虚      80        9000      102821    197       259       1299      589       817       550       45        330       4849      4840      6177      1177      620       0         25        17        一灵魔怒一
冰心      80        3000      79300     132       235       1163      749       539       415       41        331       3173      3399      5135      720       352       0         14        0         乄呆小花
冰心      80        6780      89112     150       252       1409      919       637       476       43        330       3352      3634      5951      751       459       0         34        0         乄洛漓灬
天机      80        7400      93997     156       241       783       503       2758      1588      0         443       6071      832       1992      2051      424       37        343       0         赏花赏月操秋香
荒火      80        7546      94255     195       240       789       409       3429      1312      0         434       5127      675       1853      1321      2391      0         202       388       丷汐洋乀
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
天机      80        7650      92511     196       236       838       481       2673      1511      0         424       5463      557       1527      2094      525       60        105       0         乀墨语轻扬灬
太虚      80        9988      101220    225       234       4029      1686      690       390       34        377       2292      1757      3624      2168      2451      31        23        308       楠沐汐雪乀
弈剑      80        4199      76037     121       238       1978      782       1481      670       11        410       2527      2313      3143      1155      1664      0         0         0         邪王真眼六花
冰心      80        3600      82974     150       236       1268      823       516       417       35        344       3347      2874      5531      803       649       0         61        30        踏月丶
弈剑      80        9500      101567    203       249       4294      1607      856       525       28        401       2329      1419      3477      1675      2498      0         101       451       夕灬臻
冰心      80        4899      91463     195       239       1231      1058      648       489       42        334       3996      3419      5334      719       161       19        123       0         乄小樰丶
冰心      80        6200      96367     198       234       1531      1056      611       502       32        335       3656      3580      5299      930       437       0         151       0         乄濤丶
弈剑      80        8388      97894     195       236       1382      499       2542      1059      1         451       3796      2897      3372      2006      2418      0         0         36        可乐宝宝
云麓      80        8888      91389     195       256       3835      1636      900       592       48        341       1729      1254      3492      1756      2083      0         115       147       乀愚灬翁乄
冰心      80        4900      84169     155       247       1393      987       637       581       30        336       3374      2907      5280      756       249       0         51        0         乄沫染丶芷烟
弈剑      80        8500      96145     171       260       1117      425       2260      910       0         492       3743      2146      2723      2525      2405      0         0         21        乐可乐
天机      80        6500      71354     123       236       716       399       2116      1248      0         416       4940      723       1280      1371      449       0         35        0         缔泪锶祤
弈剑      80        6300      91288     185       241       1141      386       2980      1210      0         467       4437      2110      2742      2053      1976      0         0         135       安乔
弈剑      80        3900      82220     140       242       3011      1640      754       480       19        343       2387      1963      3617      1633      1759      0         0         91        夜少卿
冰心      80        4450      79105     122       241       999       728       509       458       38        330       3367      3545      4872      709       614       0         0         0         夏日溪涧的暖流
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
冰心      80        9898      96286     195       241       1305      827       583       487       43        330       4400      3749      6423      825       517       0         27        0         炼奶花生西多士
魍魉      80        8100      97962     195       246       589       333       2673      810       0         432       5035      1117      2403      1960      2987      0         185       61        青花属性刺客
鬼墨      80        7400      101487    186       240       4285      2133      1104      634       9         437       2655      1722      3996      1832      1737      0         15        214       善丶惡
荒火      80        10000     102064    198       256       832       504       2285      1253      0         441       5588      729       1477      2581      389       87        45        0         乄暴脾气灬
冰心      80        3888      85908     135       235       1948      1254      635       523       27        335       2167      2790      4428      734       177       27        4         0         秀丨气
天机      80        5000      87398     150       235       829       479       2928      1406      0         463       5614      819       1847      1418      2022      0         185       121       挤挤总是有的
太虚      80        4500      82348     124       257       3002      1318      723       355       35        369       1773      1801      3411      1509      1928      0         40        173       紫竹箐葙
太虚      80        3800      81551     139       235       2569      1201      680       411       40        342       3283      1621      3846      1730      1449      12        20        0         乄鳕纞
幽篁      80        9999      101219    195       252       4478      1934      833       415       13        437       4001      1154      2850      1324      2100      0         225       229       门前雪
天机      80        8800      89038     195       239       744       514       2826      1580      0         441       5947      568       1938      2040      559       74        426       0         青衣醉红尘丶
弈剑      80        3200      81152     126       236       2952      1242      773       511       28        382       2972      1937      3209      1061      2197      0         27        88        物是一人非
弈剑      80        4300      88016     152       238       1086      400       2645      1714      0         442       3529      1793      2195      1843      608       0         55        0         乄公子羽丶
冰心      80        4000      83659     153       235       1092      715       435       435       40        333       3341      3391      5565      689       599       0         25        0         銤蟲乄幽幽
荒火      80        2588      80727     150       239       731       335       2756      986       0         448       4962      719       1233      1500      2096      0         37        154       她在丛中笑
翎羽      80        5999      91079     195       238       735       435       3356      1751      0         434       3696      1154      1519      1741      263       55        0         0         丷慕蘇
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
冰心      80        3399      80061     130       236       1380      697       595       375       34        334       2990      2952      5104      795       724       0         28        0         筱筱浅丶
魍魉      80        9400      98256     195       241       614       310       2526      684       0         418       4375      1210      1962      2466      3124      0         0         218       一时小糊涂丶
冰心      80        8888      99597     195       260       1254      732       491       431       50        330       4598      4512      6287      603       474       0         7         0         乄芔灬北末疏影
天机      80        3500      75361     127       237       808       461       2320      1222      0         431       5998      1149      1185      1465      1497      0         0         0         乄雨桥恋牧渔灬
冰心      80        6900      95851     195       235       1376      847       660       487       51        330       3913      4077      6388      639       137       19        19        0         清酒语梨丶
冰心      80        3000      81241     143       236       1047      794       586       385       39        330       3584      3721      5119      699       557       0         22        0         人间草莓丶
冰心      80        6000      84070     189       241       1278      753       484       390       41        330       3241      3126      5623      634       462       0         26        0         念归晚丷
冰心      80        3050      80757     140       243       1345      855       538       424       34        339       3740      3706      4828      783       579       0         22        0         花开何惜
魍魉      80        6300      86794     140       236       638       318       2766      978       1         364       3458      1169      1729      1985      2240      0         41        111       静夜思李白
云麓      80        4800      90660     150       234       3879      1780      1020      615       42        334       1878      1236      3734      2095      1629      0         19        145       桃酒乀
天机      80        4350      76841     126       235       724       458       2422      1435      0         404       6958      309       1957      1478      330       0         72        0         丷贰境界护心
天机      80        9100      96643     195       245       837       544       2790      2790      0         470       5884      742       2921      1767      514       76        85        0         千错乀
翎羽      80        7986      93117     195       234       768       445       3254      3254      1         430       4029      1135      1694      1571      248       40        0         0         乄熊兄凶灬
弈剑      80        4300      88888     195       240       1123      428       2319      936       0         464       3513      2347      2716      2330      2087      0         0         62        八八八八八
弈剑      80        3000      79380     150       234       2820      1089      754       501       32        365       2463      1912      3537      1030      2095      0         0         0         丶本宝宝敲萌的
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
冰心      80        6999      95437     195       246       1116      718       535       439       47        330       3991      4055      5932      622       483       18        22        0         叫什么名呢
冰心      80        9000      95565     195       245       1342      815       506       414       53        330       4172      3825      6416      713       568       0         18        12        丷玥蛮
天机      80        6600      89780     195       235       780       444       2623      1509      0         439       5600      663       2029      2010      633       0         144       0         惊才俊逸无小痕
天机      80        8500      91992     195       238       840       471       2149      1194      0         336       6322      2871      4565      789       1084      0         154       39        又逍遥了呀
云麓      80        2700      77856     150       235       3018      1428      847       542       38        340       1558      1517      3541      1751      1561      0         69        58        花开未央丶
冰心      80        4600      82723     146       235       1060      676       575       404       48        330       3577      3107      5676      652       307       0         18        0         與酒丶
太虚      80        3699      82384     150       235       2073      1009      742       376       37        334       2767      2145      5241      1470      1532      0         7         0         不要让我改名丶
幽篁      80        7400      99222     195       254       4127      1782      767       382       40        344       2224      1817      3884      1688      2219      20        26        371       丶笙箫默
冰心      80        8700      91353     195       234       1063      811       496       392       51        335       4074      3745      6124      811       629       6         22        0         岚曦乀
弈剑      80        4350      83416     153       236       2891      1313      919       489       34        395       2197      1682      3303      1307      2158      0         0         48        神经男神萌萌哒
冰心      80        3800      82064     140       235       1009      869       506       448       45        337       3373      3470      5441      733       496       0         19        0         绯桐乀
弈剑      80        4899      90064     150       235       1135      398       2785      1119      0         447       3894      1906      2662      2441      2381      0         0         60        月落乄清音
太虚      80        4500      86604     195       240       3210      1692      716       368       41        368       2550      1891      3376      1704      992       0         0         37        乄雲中令
冰心      80        7600      88489     195       248       1098      757       586       492       30        342       4000      4026      5286      711       277       0         58        0         紅洺
魍魉      80        9800      100680    195       254       594       336       3030      894       0         422       4132      1322      1770      1955      3118      0         5         229       倒数三个数
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
云麓      80        7999      94185     174       253       4147      1927      979       642       50        330       1986      1173      3751      2817      432       45        0         0         酸菜鱼汤面
天机      80        6150      95490     162       240       753       477       2761      1554      0         462       5995      814       2515      1990      621       30        232       0         孔雀
太虚      80        4900      89594     195       238       3168      1611      733       369       37        389       1953      1913      3932      1730      1978      0         0         126       丷嫑烎我会巭
天机      80        9500      97083     196       235       747       454       3112      3112      0         469       5879      911       1731      1532      550       59        0         26        唐司二族
冰心      80        6000      79997     120       235       975       706       460       413       44        330       3899      2974      5442      690       331       0         0         25        糖水糖
天机      80        6999      86100     150       234       739       427       2311      2311      0         425       4528      882       1676      1466      460       25        0         0         副本我做主
天机      80        7500      86518     158       236       815       510       2595      1695      0         450       5699      708       1491      1972      623       0         190       0         乀来了啊丶老弟
魍魉      80        5950      89318     195       234       561       286       2358      669       0         421       4137      1623      1559      1979      2604      0         26        76        乄茯苓公子丷
云麓      80        9555      101941    196       258       4607      2341      1016      670       53        330       1998      1205      4205      2728      458       38        0         0         思想有问题
太虚      80        2700      79170     123       234       2495      1109      727       395       44        344       2445      1785      3363      1581      1417      0         35        0         乂白衣
冰心      80        1850      70208     30        235       1029      822       447       354       30        334       2653      2155      4579      736       439       0         18        0         乀月夜樱诗雨
翎羽      80        5000      87801     195       253       623       420       3232      1615      0         463       3174      1101      1670      2110      414       25        0         0         傲娇男神哇咔咔
魍魉      80        6600      75937     122       235       851       549       979       518       64        343       4635      1651      2400      663       770       0         41        0         狗东西丶
翎羽      80        4200      87354     195       234       671       456       3503      1754      0         456       3466      1224      1547      1839      348       30        0         0         莪哋國
冰心      80        7500      99595     195       247       1586      913       652       517       41        340       3765      4344      5741      786       441       0         67        0         绮安丶
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
幽篁      80        6199      94560     197       235       1971      760       551       364       45        341       3951      3249      5930      713       835       20        31        26        哆啦惡梦
云麓      80        5141      90778     162       234       3410      1463      934       616       41        338       1731      1239      3391      2439      2164      0         47        260       云岫丷
魍魉      80        5999      89057     195       243       511       310       2551      878       0         409       3815      1381      1686      2095      2733      0         37        117       乀心有萌虎
荒火      80        7666      95273     195       234       817       384       3264      1212      0         422       4999      648       1610      1321      2637      0         305       471       丷折月亦曼舞
太虚      80        5160      93384     155       243       2922      1689      645       471       42        330       2794      2155      5207      1768      1630      0         0         0         道友莫慌吾来也
龙巫      80        6000      94063     195       242       2907      1556      709       536       40        359       4563      1405      3202      1221      1711      0         13        54        乄一丗迷离灬
幽篁      80        3800      85791     151       234       3178      1378      709       397       15        348       3945      1254      2260      773       1315      0         150       14        莫得感情的胖猫
天机      80        5500      82839     150       234       747       469       2117      2117      1         383       4728      1069      2592      1301      446       5         0         0         天演幻境
云麓      80        6000      83920     153       238       3360      1572      848       554       45        330       1734      1267      3674      1751      280       27        38        14        丶梧凰
天机      80        4250      84073     150       234       725       471       2650      1523      0         410       5274      695       1451      1623      391       44        132       0         帝辛灬
冰心      80        5888      88425     195       240       1189      663       539       419       46        330       3805      4049      5221      621       631       0         53        0         撸猫猫的小菇凉
天机      80        6500      84415     127       237       706       431       2385      1416      0         430       4777      929       1732      1513      496       12        18        28        魈丶拾柒
鬼墨      80        9999      102147    212       239       4551      1960      1014      633       19        404       2017      1175      3698      2188      1991      27        0         441       乄执笔画情愫
冰心      80        5700      93469     195       234       1495      1096      797       588       47        334       4329      2933      5985      1018      705       0         20        0         茶寳乀
魍魉      80        7000      97648     195       236       662       335       2528      643       0         422       5384      1656      2346      1632      2698      0         0         150       乄小蛮腰丷
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
翎羽      80        5200      86373     153       235       673       402       3138      1729      0         481       3254      821       1396      1946      473       9         0         0         乄莫弃丶
云麓      80        3200      80260     140       235       3306      1498      772       503       33        346       1627      1384      3392      1281      1337      0         60        13        懵不懵逼
龙巫      80        4500      90094     195       245       3114      1919      581       480       28        334       4147      850       2674      1321      955       0         0         30        未雨
翎羽      80        7500      94760     195       235       791       440       3500      1855      0         483       3834      1118      1792      1888      397       30        12        44        恋你一抹微笑
幽篁      80        6000      91420     195       242       1069      446       2759      1343      0         411       5026      1031      1796      2202      342       47        0         0         書長歌灬
云麓      80        5000      90509     180       245       3833      1828      998       600       42        330       1593      1145      3560      2651      475       30        0         0         説了後悔乄
幽篁      80        5000      84725     171       234       1792      800       1350      637       36        340       3237      2955      5220      786       685       0         50        0         夏槿凉安丷
魍魉      80        5500      85625     150       236       546       308       2116      728       0         425       3707      1654      1921      1675      2564      0         377       69        乀老实人
